Usia ,USIA,Jenis Kelamin,KELAMIN,Pekerjaan ,Pendidikan ,Pendapatan ,Kepemilikan Kendaraan,PENGALAMAN MENGGUNAKAN SOL,PENGALAMAN,Pengalaman/ Frekuensi Berkunjung (1 Tahun) ,Asal Perjalanan,Alasan Berkunjung,Tujuan Perjalanan ,Moda Transportasi Sering Digunakan ,Cara Mencapai Moda Transportasi ,Alasan Menggunakan Moda Transportasi ,X11,X12,X13,X14,X21,X22,X23,X24,X31,X32,X33,X41,X42,X43,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22
26 - 35 Tahun,2,Laki-laki,1,Swasta/Karyawan/BUMN/BUMD,D1 / D2/ D3,5 – 8 Juta,Memiliki,Belum,2,1 – 6 x setahun,Jakarta Raya,Mengunjungi Keluarga,Rumah orang tua,Kendaraan Pribadi (Parkir di Stasiun/ Dijemput),Berjalan Kaki,"Waktu lebih singkat, Biaya Murah, Keamanan, Kenyamanan, Kemudahan",2,3,3,5,2,3,4,3,3,3,3,4,3,3,5,5,4,5,5,5,5,5,3,3,4,4
26 - 35 Tahun,2,Laki-laki,1,ASN/TNI/Polri,S1,5 – 8 Juta,Memiliki,Belum,2,2 - 7x seminggu,Jawa Tengah,Bekerja,Hotel/ Penginapan,"Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Menggunakan Aplikasi (Gojek/ Grab/ lainnya),"Waktu lebih singkat, Kemudahan",4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5
> 54 Tahun,5,Laki-laki,1,ASN/TNI/Polri,S1,5 – 8 Juta,Memiliki,Belum,2,1 – 6 x setahun,Jawa Tengah,Bekerja,Hotel/ Penginapan,"Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Menggunakan Aplikasi (Gojek/ Grab/ lainnya),Biaya Murah,2,2,3,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4
12 - 25 Tahun,1,Laki-laki,1,Pelajar/Mahasiswa,S1,"< 1,9 Juta",Memiliki,Pernah,1,1 – 6 x setahun,Jawa Barat,Pendidikan,"Area Tugu Yogyakarta (Pasar Kranggan, dll)",Kendaraan Pribadi (Parkir di Stasiun/ Dijemput),Berjalan Kaki,"Waktu lebih singkat, Biaya Murah, Keamanan, Kenyamanan, Kemudahan",3,4,4,5,5,2,4,3,4,4,4,4,4,4,5,5,5,5,4,5,5,4,3,3,4,4
12 - 25 Tahun,1,Perempuan,2,Pelajar/Mahasiswa,S1,2 – 5 Juta,Memiliki,Belum,2,7 – 12x setahun,Jakarta dan sekitarnya,Pendidikan,SLEMAN,"Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Menggunakan Aplikasi (Gojek/ Grab/ lainnya),"Kenyamanan, Kemudahan",1,1,1,3,5,5,3,5,1,1,1,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5
26 - 35 Tahun,2,Perempuan,2,ASN/TNI/Polri,S2,5 – 8 Juta,Memiliki,Belum,2,1 – 6 x setahun,Jakarta dan sekitarnya,Wisata/ Rekreasi/ Kuliner,Hotel/ Penginapan,"Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Berjalan Kaki,"Waktu lebih singkat, Kemudahan",4,3,3,3,5,5,5,4,3,4,2,3,2,3,4,4,4,4,4,3,4,4,3,3,3,3
26 - 35 Tahun,2,Laki-laki,1,Swasta/Karyawan/BUMN/BUMD,S2,> 8 Juta,Memiliki,Belum,2,1 – 6 x setahun,Jakarta dan sekitarnya,Wisata/ Rekreasi/ Kuliner,Kawasan Malioboro,Berjalan Kaki,Berjalan Kaki,"Biaya Murah, Pengalaman menarik, Kenyamanan, Kemudahan",5,4,2,5,5,4,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5
26 - 35 Tahun,2,Perempuan,2,Pelajar/Mahasiswa,S2,5 – 8 Juta,Memiliki,Belum,2,1 – 6 x setahun,Jawa Timur,Rumah Di Jogja (Tapi biasanya naik kereta karena Bekerja),Kampus UGM atau ke Kos Atau ke Rumah,Kendaraan Pribadi (Parkir di Stasiun/ Dijemput),Berjalan Kaki,"Waktu lebih singkat, Biaya Murah, Kemudahan, Punya Motor",4,4,4,4,4,3,3,2,5,5,4,2,2,2,4,4,4,4,4,4,4,4,4,3,3,4
26 - 35 Tahun,2,Laki-laki,1,ASN/TNI/Polri,S2,5 – 8 Juta,Memiliki,Belum,2,1 – 6 x setahun,Jakarta dan sekitarnya,Wisata/ Rekreasi/ Kuliner,Hotel/ Penginapan,"Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Berjalan Kaki,Waktu lebih singkat,5,4,3,5,5,5,5,4,4,4,5,3,3,3,4,4,5,4,4,5,5,5,4,3,4,3
26 - 35 Tahun,2,Laki-laki,1,Swasta/Karyawan/BUMN/BUMD,S1,> 8 Juta,Memiliki,Pernah,1,1 – 6 x setahun,Jakarta dan sekitarnya,Wisata/ Rekreasi/ Kuliner,"Kawasan Malioboro, Hotel/ Penginapan, Area Keraton Yogyakarta, Area Tugu Yogyakarta (Pasar Kranggan, dll), Pasar Beringharjo","Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Menggunakan Aplikasi (Gojek/ Grab/ lainnya),"Waktu lebih singkat, Biaya Murah, Keamanan, Kemudahan",5,5,5,5,3,3,3,2,5,5,5,5,5,5,4,3,5,4,4,5,5,5,5,5,5,5
