USIA,KELAMIN,PENGALAMAN,X11,X12,X13,X14,X21,X22,X23,X24,X31,X32,X33,X41,X42,X43,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22
2,1,2,2,3,3,5,2,3,4,3,3,3,3,4,3,3,5,5,4,5,5,5,5,5,3,3,4,4
2,1,2,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5
5,1,2,2,2,3,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4
1,1,1,3,4,4,5,5,2,4,3,4,4,4,4,4,4,5,5,5,5,4,5,5,4,3,3,4,4
1,2,2,1,1,1,3,5,5,3,5,1,1,1,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5
2,2,2,4,3,3,3,5,5,5,4,3,4,2,3,2,3,4,4,4,4,4,3,4,4,3,3,3,3
2,1,2,5,4,2,5,5,4,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5
2,2,2,4,4,4,4,4,3,3,2,5,5,4,2,2,2,4,4,4,4,4,4,4,4,4,3,3,4
2,1,2,5,4,3,5,5,5,5,4,4,4,5,3,3,3,4,4,5,4,4,5,5,5,4,3,4,3
2,1,1,5,5,5,5,3,3,3,2,5,5,5,5,5,5,4,3,5,4,4,5,5,5,5,5,5,5
2,1,2,2,4,3,4,3,4,2,3,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,5
3,1,2,3,4,4,4,2,2,3,2,4,4,4,4,3,3,4,4,3,5,4,3,3,4,4,4,3,4
3,2,2,5,5,3,5,4,4,4,2,4,4,3,4,4,4,5,5,5,4,4,3,4,4,3,3,3,4
3,1,1,5,5,5,5,4,4,3,1,5,5,5,5,5,5,3,5,5,5,5,3,4,5,5,5,5,4
3,1,2,3,3,5,5,3,4,4,2,4,5,4,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5
3,1,1,4,4,3,4,4,4,3,3,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4
3,1,2,4,4,4,4,3,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
3,2,1,4,4,5,2,4,4,2,2,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,4
3,1,2,4,4,4,3,4,4,4,2,3,3,3,3,3,3,5,5,5,5,5,5,5,5,4,4,4,5
3,1,2,3,4,3,2,4,4,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4,4
3,1,2,2,3,4,4,5,5,5,5,3,4,3,2,3,2,4,5,5,5,5,5,5,5,5,5,5,5
3,2,2,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,2,2,4,4,4,4,4,4,4,4,3,5,4,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5
3,2,2,1,2,1,3,5,5,5,5,4,4,1,3,3,2,4,3,3,3,3,3,4,4,4,3,3,4
3,1,2,2,2,3,4,5,5,3,4,3,4,4,3,2,3,4,4,4,4,4,3,4,3,3,3,3,4
3,1,1,2,4,4,5,5,5,5,3,5,5,5,5,4,4,5,5,5,5,5,5,5,5,3,3,4,5
3,2,2,2,2,4,4,5,5,5,5,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,4,4,4
3,1,1,3,4,3,4,4,4,3,3,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,4
3,1,2,3,2,2,4,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,4,4,5,5,3,5
3,2,2,2,4,2,4,2,2,4,2,3,4,4,5,4,3,4,4,4,4,4,4,4,4,4,4,4,5
1,2,2,2,3,4,2,4,4,4,4,4,4,4,3,3,3,4,4,5,5,5,5,5,4,4,3,3,3
4,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,4
1,1,2,2,4,4,2,5,5,5,4,3,3,4,3,3,3,4,4,4,4,4,4,4,3,3,4,3,5
3,1,2,4,3,4,4,5,5,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
3,2,1,2,4,2,4,5,5,5,4,3,4,3,5,3,3,4,4,4,4,4,5,5,5,3,3,3,5
3,2,2,4,4,4,4,4,4,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
3,1,1,5,5,3,5,3,3,4,2,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5
3,2,2,5,5,5,5,3,3,2,1,4,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,5
3,1,2,4,3,4,4,2,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,1,2,4,3,4,4,4,4,3,3,4,4,3,3,3,3,5,3,4,4,4,4,5,4,4,3,3,5
3,2,2,4,3,3,4,4,4,2,4,3,4,4,4,3,3,5,5,5,5,5,5,5,5,5,4,4,5
1,1,2,2,1,3,4,5,5,5,5,1,1,3,2,2,2,5,5,5,5,5,5,4,5,3,3,3,5
3,2,2,4,4,4,2,3,4,3,3,3,3,3,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4
1,1,2,2,3,3,2,4,3,5,3,4,4,5,5,3,3,5,5,5,4,5,5,5,5,5,3,3,4
1,1,2,3,4,3,3,3,2,3,2,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3
3,1,1,1,1,1,5,5,5,5,5,4,4,4,4,2,3,5,5,5,5,5,5,5,5,4,4,3,4
3,1,2,3,3,3,5,5,5,4,3,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,3,3,4
3,2,2,3,4,5,5,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,4,3,4,4,3,3,4
3,1,2,1,1,2,3,5,5,5,5,3,3,3,1,1,1,4,4,3,3,3,3,3,3,3,3,3,3
3,1,2,5,3,2,5,2,4,2,3,4,3,4,2,4,3,4,3,2,5,4,4,5,4,4,4,5,4
3,2,2,3,2,3,4,5,5,4,5,4,4,4,5,3,5,5,5,5,4,4,5,5,4,4,4,3,5
1,1,1,2,3,2,5,2,2,2,2,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5
3,1,1,3,1,2,2,4,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,1,2,1,1,2,2,3,3,3,1,5,5,5,4,4,4,4,4,5,4,4,5,5,5,5,5,5,5
3,2,2,3,2,4,4,3,4,4,2,5,4,3,2,2,3,4,4,4,4,3,4,5,5,4,4,3,5
1,2,2,2,2,3,3,3,3,2,2,3,4,3,2,3,2,4,4,5,5,5,4,5,5,4,3,4,4
3,1,2,5,1,1,1,5,1,4,3,3,2,3,2,3,3,5,4,5,4,3,3,4,2,4,2,3,5
1,1,1,4,3,4,5,4,3,3,2,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,1,2,4,3,2,2,2,2,5,3,4,4,4,4,3,3,5,5,5,5,5,5,5,5,4,4,4,4
3,1,2,2,2,2,2,4,4,4,5,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,3,2,4
3,1,2,3,3,4,4,5,5,4,2,3,3,3,4,3,3,4,4,3,4,4,3,3,1,2,3,3,3
1,1,2,4,4,5,5,2,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,2,1,3,4,4,4,4,4,4,2,4,5,4,3,3,4,5,5,5,5,5,5,5,5,5,5,4,4
3,1,1,2,3,2,5,5,3,5,5,4,4,4,4,3,4,5,4,4,4,4,4,5,5,4,4,4,4
3,1,1,2,2,2,4,4,4,4,3,3,5,4,5,4,4,3,3,4,4,4,4,4,3,3,3,3,4
3,1,1,3,3,3,3,4,4,1,1,3,3,3,5,3,3,5,5,5,5,5,5,5,5,3,3,3,4
3,1,2,4,4,4,4,3,3,3,3,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,3,4
3,2,2,2,3,3,5,4,4,4,3,3,3,3,5,3,3,5,5,4,5,5,5,5,5,4,3,3,4
3,2,2,4,4,5,5,4,4,2,1,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,1,2,3,3,3,5,3,3,3,2,3,3,3,3,3,3,3,3,4,5,5,5,5,5,5,5,3,4
3,1,2,4,4,3,3,4,4,4,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5
3,2,1,3,4,3,3,4,4,4,3,4,4,3,4,3,4,4,4,4,4,4,4,5,5,5,5,4,5
3,1,2,1,5,3,5,1,1,3,1,3,5,3,4,3,3,5,5,5,5,5,5,5,5,5,5,5,5
3,1,2,5,4,5,4,4,5,4,2,4,5,3,5,4,5,5,5,5,5,4,5,5,4,5,5,4,5
3,1,2,3,4,2,4,5,5,5,4,4,4,4,4,4,4,5,4,4,4,4,5,5,5,4,4,4,4
3,1,2,5,3,3,4,3,3,3,3,3,3,3,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4
3,2,1,5,4,5,5,3,3,3,4,5,5,5,3,3,4,4,5,5,4,4,5,5,5,5,5,5,5
3,1,2,2,2,4,4,4,4,4,4,2,3,3,5,2,2,4,4,4,4,4,4,3,3,3,3,3,4
3,1,2,4,4,5,5,3,3,3,4,4,4,4,4,3,4,5,5,5,5,5,5,5,5,5,5,5,5
3,2,1,4,4,3,5,4,3,2,2,4,4,4,4,3,4,5,5,4,5,5,5,5,5,4,4,4,5
3,2,2,3,3,2,2,4,4,3,4,3,3,3,4,3,3,5,5,5,5,5,5,5,5,4,4,3,5
3,2,2,3,3,3,3,3,3,2,2,2,4,2,3,3,3,3,4,4,4,4,3,3,3,3,4,3,3
4,1,1,1,5,5,5,3,3,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,1,2,3,3,4,3,3,3,1,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,3,3
3,1,2,4,4,4,4,3,3,3,2,4,5,5,4,5,4,4,5,4,4,5,5,5,5,5,4,5,5
3,2,2,2,2,2,2,5,5,5,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,2,1,4,4,4,4,5,4,4,2,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4
3,1,2,2,2,4,4,5,5,4,5,4,3,4,5,3,3,5,5,5,4,4,4,5,5,4,4,4,5
3,2,2,4,4,4,4,3,3,2,2,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,3
3,1,2,3,2,2,4,3,2,3,3,3,3,3,4,3,3,4,4,4,4,4,4,4,4,4,3,3,3
3,1,2,5,5,5,5,5,5,4,2,4,4,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5
3,2,2,5,4,4,4,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5
3,2,2,4,4,4,5,4,4,4,4,3,3,3,4,3,3,5,5,5,5,5,5,5,5,5,5,5,5
3,2,1,5,3,3,5,2,3,3,1,5,5,4,5,5,4,5,4,3,5,4,4,5,3,3,3,3,4
3,1,1,1,1,1,5,5,5,5,5,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5
3,2,2,4,4,4,5,5,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5
3,1,2,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,1,1,3,4,4,4,3,4,3,2,4,4,4,4,4,3,2,4,4,4,5,5,5,4,4,4,4,5
2,1,2,5,5,5,5,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,2,2,2,2,3,3,4,5,4,4,3,3,3,3,2,3,4,4,4,4,4,4,4,4,3,3,3,4
1,1,2,3,4,2,4,3,2,4,3,4,4,4,4,4,4,5,5,5,4,5,5,5,5,5,4,5,5
2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4
2,1,2,4,4,4,5,3,3,4,2,3,4,4,5,3,3,5,5,5,5,5,4,5,5,5,5,4,5
4,1,1,5,5,5,5,4,4,4,2,5,5,5,3,4,4,5,5,5,5,5,5,5,5,5,5,5,4
5,1,1,3,4,4,4,4,4,4,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,4,5
3,1,2,2,3,3,3,4,3,3,2,3,3,3,3,3,3,4,4,4,3,5,4,4,5,4,3,3,4
2,1,2,3,3,5,5,2,5,5,3,3,4,4,3,2,3,4,4,4,4,4,5,4,4,3,5,3,3
2,1,1,4,5,5,5,2,2,1,1,5,5,5,4,4,5,5,4,4,4,4,4,5,4,5,4,5,4
2,1,2,3,4,5,5,3,2,2,2,5,4,4,4,4,4,2,4,5,5,5,4,5,5,5,5,4,5
2,1,2,1,5,3,5,1,1,1,1,5,5,5,5,5,3,5,3,3,5,5,1,3,5,5,5,5,5
2,1,1,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,2,2,3,4,4,4,4,4,3,2,4,4,3,5,3,3,4,5,4,4,5,3,5,5,4,4,4,4
2,1,1,4,3,2,2,5,5,5,5,5,5,5,4,3,3,5,4,4,5,5,4,5,5,4,4,4,3
2,1,2,5,5,5,5,2,4,1,2,5,5,5,5,5,5,1,5,5,5,5,1,4,4,4,4,4,5
1,1,1,4,4,4,4,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5
2,1,2,3,4,3,4,4,4,4,3,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4
